id;submitter_member_id;submitter_trader_id;submitter_trader_name;member_id;national_id_type;national_id_code;short_code;id_name_display;country_code_investment_decision;country_code_order_execution;event;status;user_data;creation_date;creation_time;update_date;update_time
1;48016;15742;Chips generating;1618;80705;Analyst Enterprise-wide;Team-oriented;Associate Small Soft Salad International;Agent;Incredible Unbranded Frozen Cheese;Delete;Enabled;budgetary management Refined Wooden Cheese;31324;24786;11138;99227
2;44222;89014;silver;48119;19912;Product invoice;withdrawal;Mountains;Checking Account;Nuevo Sol;Delete;Deleted;Awesome;97506;57367;85544;64796
3;39645;59239;partnerships applications Avon;26646;62100;real-time;override THX Groves;Grocery high-level;gold;teal Locks Brook;Enable;Deleted;Kentucky payment;27162;48661;77730;77423
4;19716;51839;Outdoors;91889;93246;Ball circuit back up;Brand mint green;Avon Computer payment;utilize Tennessee;teal intermediate;Delete;Deleted;synthesize Fantastic Rubber Fish;70934;79058;27070;38801
5;17587;31027;instruction set Frozen;1083;57973;Lempira Square;Ergonomic Concrete Chips Tuvalu;withdrawal;Agent Home Loan Account;Product Clothing Rustic Steel Shirt;Delete;Deleted;Intelligent Wooden Tuna Handcrafted Soft Chips haptic;67663;39412;68311;8702
6;95069;59183;withdrawal invoice;87771;31781;copy firmware reinvent;alarm Michigan Refined Steel Towels;disintermediate;Buckinghamshire knowledge base transmitter;Island;Delete;Enabled;Borders;81826;46039;6295;5529
7;20759;88477;Ergonomic Cotton Towels;3210;97967;Algerian Dinar Berkshire;Avon Crossroad web-readiness;Rubber Sleek Metal Soap;Soft Handmade Concrete Chips Slovakia (Slovak Republic);seamless Ergonomic;Delete;Deleted;Awesome Metal Tuna;66509;14523;81056;58773
8;80851;84621;French Polynesia ivory;81978;61903;Engineer Soft;Cheese;payment Money Market Account;deliver Coordinator;panel;Delete;Enabled;Data throughput forecast;44125;3184;93839;26248
9;76292;88913;Alaska Generic Fresh Soap;31637;78831;India;challenge;Paradigm Integration;Computers Future Assurance;whiteboard copying Unbranded;Enable;Enabled;Marketing;48571;78702;79865;46823
10;58677;55220;solution-oriented;26284;78077;Quetzal red Checking Account;Fresh Computer mindshare;Principal dynamic;deposit CSS SMS;payment bluetooth;Delete;Deleted;Berkshire;35349;92462;60687;59810
